Booking: Account,Booking Event: Name,Event Date,Start Time 12 Hour,End Time 12 Hour,Event Classification,Blended Food Revenue,Blended Beverage Revenue,Blended Revenue Total,Function Room,Function Room Setup,Expected,Guaranteed,Set,Booking: Catering Manager
MLR 2021 Wedding Room Block,Ceremony & Dinner at Magnolia Bells,2/27/2021,4:00 PM,11:00 PM,Ceremony,0,0,0,TBA,,,,,
MLR 2021 Wedding Room Block,Transportation ON FLOW - I Do Transportation. x2 16pax Vans,2/27/2021,3:00 PM,11:30 PM,Departure,0,0,0,TBA,Existing,,,,
MLR 2021 Wedding Room Block,Wedding Reception - Arrowhead Hill,3/6/2021,5:00 PM,11:00 PM,Reception - Cocktail,0,0,0,TBA,,,,,
MLR 2021 Wedding Room Block,"Wedding Ceremony - St. Mary's Church, Plantersville, TX",3/6/2021,2:30 PM,3:30 PM,Ceremony,0,0,0,TBA,,,,,
MLR 2021 Wedding Room Block,Rehearsal Dinner - Amore Restaurant,3/12/2021,7:00 PM,9:00 PM,Dinner Wedding,0,0,0,TBA,,,,,
MLR 2021 Wedding Room Block,Rehearsal - Olde Dobbin Station,3/12/2021,5:30 PM,6:30 PM,Rehearsal,0,0,0,TBA,,,,,
MLR 2021 Wedding Room Block,Ceremony & Reception - Olde Dobbin Station,3/13/2021,5:00 PM,10:00 PM,Ceremony,0,0,0,TBA,,,,,
MLR 2021 Wedding Room Block,"Departing Transpo - I Do Transportation, 2 16pax Vans on FLOW",3/5/2021,4:15 PM,11:30 PM,Departure,0,0,0,TBA,Existing,,,,
MLR 2021 Wedding Room Block,Wedding & Reception - Iron Manor,3/5/2021,5:00 PM,11:00 PM,Ceremony,0,0,0,TBA,,,,,
MLR 2021 Wedding Room Block,Off Site Rehearsal Dinner,3/16/2021,4:00 PM,7:00 PM,Rehearsal,0,0,0,TBA,,,,,
MLR 2021 Wedding Room Block,Wedding at The Carriage House,3/17/2021,3:30 PM,9:45 PM,Ceremony,0,0,0,TBA,,,,,
MLR 2021 Wedding Room Block,Wedding/Ceremony at Meekermark,3/17/2021,5:00 PM,10:00 PM,Ceremony,0,0,0,TBA,,,,,
MLR 2021 Wedding Room Block,"Departing Transpo - I Do Transporation, (x4) 16pax Van on Flow",2/26/2021,4:00 PM,11:30 PM,Departure,0,0,0,TBA,Existing,,,,
Morgan Group,Lunch Plan,5/18/2022,12:00 PM,1:00 PM,Lunch Plan,1260,0,1575,TBA,Existing,80,80,,Kenna Feuge
Morgan Group,Free Time,5/18/2022,3:30 PM,6:00 PM,Unassigned,0,0,0,TBA,,77,,,Kenna Feuge
MLR Wedding Room Blocks 2021,Ceremony - Jennings Trace,3/6/2021,4:30 PM,11:00 PM,Ceremony,0,0,0,TBA,,,,,Caitlin Bracewell
"Incentive Solutions, Inc.",Storage (Back-up),3/7/2022,7:00 AM,11:59 PM,Storage,0,0,0,TBA,Empty,,,,Kenna Feuge
MLR Wedding Room Blocks 2021,Offsite Rehearsal Dinner,2/11/2021,6:00 PM,9:00 PM,Dinner On Own,0,0,0,TBA,Existing,,,,
MLR Wedding Room Blocks 2021,55 Pax Bus - Sam's Limo,2/12/2021,3:30 PM,3:45 PM,Departure,0,0,0,TBA,Existing,,,,
MLR Wedding Room Blocks 2021,55 Pax Bus - Sam's Limo,2/12/2021,11:45 PM,11:59 PM,Arrivals,0,0,0,TBA,Existing,,,,
MLR 2021 Wedding Room Block,Dinner On Own,11/18/2021,6:00 PM,9:00 PM,Dinner On Own,0,0,0,TBA,Existing,30,,,Kenna Feuge
MLR 2021 Wedding Room Block,Dinner On Own,11/20/2021,6:00 PM,9:00 PM,Dinner On Own,0,0,0,TBA,Existing,30,,,Kenna Feuge
Siemens Corporation,Del Lago 1 Lunch Plan,6/22/2022,12:00 PM,1:00 PM,Lunch Plan,984,0,1230,TBA,Existing,45,41,,Theresa Mentzer
Forest River Marine,Recreation/Free Time,8/15/2022,2:00 PM,6:00 PM,Recreation,0,0,0,TBA,,180,,,Kenna Feuge
Forest River Marine,Recreation/Free Time,8/16/2022,2:00 PM,6:00 PM,Recreation,0,0,0,TBA,,180,,,Kenna Feuge
"NGI, Inc.",New Event,4/7/2022,,,,0,0,0,TBA,,,,,Theresa Mentzer
"Parker Drilling Management Services, Ltd.",Breakout,6/16/2022,9:00 AM,5:00 PM,Breakout,0,0,0,TBA,Existing,20,,,Jennifer Perkins
The Home Depot,Spa/Boating ON OWN,10/5/2022,8:00 AM,5:00 PM,Team Building,0,0,0,TBA,,22,20,,Peggy Bennett
CITGO Petroleum Corporation,Free Time,9/15/2021,1:00 PM,5:00 PM,Recreation,0,0,0,TBA,,,,,Kenna Feuge
CITGO Petroleum Corporation,General Session Plan,9/15/2021,8:00 AM,5:00 PM,General Session Plan,0,0,1881.25,TBA,,35,35,,Kenna Feuge
Midwest Dental Supplies & Equipment,"Spa, Team Building, Pools, Boats, Etc",10/7/2021,1:00 PM,5:00 PM,Recreation,0,0,0,TBA,,20,,,Kenna Feuge
Houston Methodist Hospital,Free Time,10/21/2021,3:00 PM,5:00 PM,Unassigned,0,0,0,TBA,Existing,92,,,Kenna Feuge
Morgan Group,Dinner On Own,5/6/2024,6:00 PM,9:00 PM,Dinner On Own,0,0,0,TBA,Existing,20,,,Kenna Feuge
Morgan Group,Free Time,5/8/2024,4:00 PM,6:30 PM,Team Building,0,0,0,TBA,,110,,,Kenna Feuge
ALHI,Hotel Site Tour,5/8/2023,3:50 PM,5:00 PM,Setup,0,0,0,TBA,,95,,,Theresa Mentzer
Abundance Amplifier LLC,Sales See Kenna if u needed this space,4/18/2023,5:00 PM,11:59 PM,Holding Room,0,0,0,TBA,,,,,Kenna Feuge
Christian Brothers Automotive Corporation,Welcome - Parking C,2/27/2023,2:00 PM,6:00 PM,Registration,120,168,360,TBA,Existing,2,,,Kenna Feuge
Morgan Group,Dinner On Own,5/8/2023,6:00 PM,9:00 PM,Dinner On Own,0,0,0,TBA,Existing,20,,,Kenna Feuge
Morgan Group,Free Time,5/10/2023,4:00 PM,6:30 PM,Team Building,0,0,0,TBA,,100,,,Kenna Feuge
American Needlepoint Guild Lonestar Chapter,Meals for Revenue,3/5/2021,,,Breakfast - Restaurant,0,0,0,TBA,,40,43,,Kenna Feuge
American Needlepoint Guild Lonestar Chapter,Meal for Revenue,3/5/2021,,,Lunch - Restaurant,0,0,0,TBA,,40,43,,Kenna Feuge
American Needlepoint Guild Lonestar Chapter,Meals for Revenue,3/6/2021,,,Breakfast - Restaurant,0,0,0,TBA,,40,,,Kenna Feuge
American Needlepoint Guild Lonestar Chapter,Meal for Revenue,3/6/2021,,,Lunch - Restaurant,0,0,0,TBA,,40,,,Kenna Feuge
American Needlepoint Guild Lonestar Chapter,Meals for Revenue,3/7/2021,,,Breakfast - Restaurant,0,0,0,TBA,,40,,,Kenna Feuge
Texas Burglar and Fire Alarm Association,Break,10/28/2021,8:30 AM,6:00 PM,Break,0,0,0,TBA,,120,120,,Kenna Feuge
Be The Ultimate Assistant,Property Tour,9/22/2021,5:30 PM,6:30 PM,Holding Room,0,0,0,TBA,,20,16,,Kenna Feuge
Young Presidents' Organization,Movie Backup,6/5/2021,9:00 PM,11:00 PM,Backup,0,0,0,TBA,,20,,,Kenna Feuge
Young Presidents' Organization,Departure,6/6/2021,11:00 AM,12:00 PM,Departure,0,0,0,TBA,Existing,44,,,Kenna Feuge
Margaritaville Holiday Events,Christmas Tree Storage,1/10/2021,12:00 AM,11:45 PM,Storage,0,0,0,TBA,Empty,,,,Desiree Tapping
Margaritaville Holiday Events,Christmas Tree Storage,1/11/2021,12:00 AM,11:45 PM,Storage,0,0,0,TBA,Empty,,,,Desiree Tapping
MLR In House 2021,F&B Manager's Meeting,5/6/2021,1:30 PM,3:30 PM,Meeting,0,0,0,TBA,U-Shape,,,,
MLR In House 2021,Sales Update Meeting,8/5/2021,4:00 PM,5:00 PM,Break,0,0,0,TBA,Existing,,,,
MLR In House 2021,Margaritaville Lake Conroe Content Photoshoot,8/16/2021,6:00 AM,12:00 AM,Photos,0,0,0,TBA,,,,,
MLR In House 2021,Weekly Outlet Marketing Meeting,9/16/2021,12:00 PM,1:00 PM,Meeting,0,0,0,TBA,Existing,8,,,
MLR In House 2021,Weekly Outlet Marketing Meeting,9/22/2021,12:00 PM,1:00 PM,Meeting,0,0,0,TBA,Existing,8,,,
MLR In House 2021,Weekly Kick-Off Meeting,9/27/2021,8:30 AM,9:00 AM,Meeting,0,0,0,TBA,Existing,,,,
