Description,ACTUAL_AMT,ACTUAL_%REV,FC_AMT,FC_%REV,FC_VARIANCE_AMT,FC_VARIANCE%REV,LY_AMT,LY_%REV,LY_VARIANCE_AMT,LY_VARIANCE_%REV
REV PAR,43.40,,45.89,,-2.48,,46.67,,-3.27,
Paid Occupancy %,21.70,,23.00,,-1.20,,22.60,,-0.90,
Average Daily Rate,199.79,35.40,199.75,38.90,0.05,-3.50,206.61,37.60,-6.82,-2.20
Paid Rooms,2256.00,35.40,2386.00,38.90,-130.00,-3.50,2346.00,37.60,-90.00,-2.20
Complimentary Rooms,119.00,0.00,0.00,0.00,119.00,0.00,107.00,0.00,12.00,0.00
Total Occupied Rooms,2375.00,35.40,2386.00,38.90,-11.00,-3.50,2453.00,37.60,-78.00,-2.20
Rooms Available,10385.00,,10385.00,,0.00,,10385.00,,0.00,
,,,,,,,,,,
Operating Revenue,,,,,,,,,,
Rooms,450731.00,35.40,476519.00,38.90,-25789.00,-3.50,484709.00,37.60,-33978.00,-2.20
Food & Beverage,531469.00,41.70,510255.00,41.60,21213.00,0.10,594104.00,46.10,-62635.00,-4.40
Spa,43759.00,3.40,37789.00,3.10,5970.00,0.30,42270.00,3.30,1488.00,0.20
Golf,54286.00,4.30,49241.00,4.00,5045.00,0.20,39748.00,3.10,14538.00,1.20
Member Services,44337.00,3.50,44510.00,3.60,-173.00,-0.20,38778.00,3.00,5559.00,0.50
Retail,12804.00,1.00,19887.00,1.60,-7083.00,-0.60,18104.00,1.40,-5301.00,-0.40
Recreation,3040.00,0.20,7210.00,0.60,-4170.00,-0.30,4044.00,0.30,-1004.00,-0.10
Miscellaneous Income,134549.00,10.60,80533.00,6.60,54016.00,4.00,68125.00,5.30,66424.00,5.30
Total Operating Revenue,1274973.00,100.00,1225944.00,100.00,49030.00,0.00,1289882.00,100.00,-14908.00,0.00
,,,,,,,,,,
Departmental Expenses,,,,,,,,,,
Rooms,202829.00,45.00,216941.00,45.50,-14112.00,-0.50,180101.00,37.20,22728.00,7.80
Food & Beverage,486803.00,91.60,485878.00,95.20,925.00,-3.60,524376.00,88.30,-37573.00,3.30
Spa,25557.00,58.40,31008.00,82.10,-5451.00,-23.70,35300.00,83.50,-9743.00,-25.10
Golf,62015.00,114.20,73304.00,148.90,-11289.00,-34.60,70343.00,177.00,-8328.00,-62.70
Member Services,4474.00,10.10,11232.00,25.20,-6758.00,-15.10,8893.00,22.90,-4418.00,-12.80
Retail,10233.00,79.90,11759.00,59.10,-1527.00,20.80,9694.00,53.50,539.00,26.40
Recreation,11981.00,394.10,14033.00,194.60,-2052.00,199.40,9641.00,238.40,2340.00,155.70
Total Departmental Expenses,803892.00,63.10,844156.00,68.90,-40264.00,-5.80,838348.00,65.00,-34456.00,-1.90
,,,,,,,,,,
Total Departmental Profit,471081.00,36.90,381788.00,31.10,89294.00,5.80,451534.00,35.00,19547.00,1.90
,,,,,,,,,,
Undistributed Operating Expenses,,,,,,,,,,
Administrative & General,175521.00,13.80,168407.00,13.70,7114.00,0.00,179058.00,13.90,-3536.00,-0.10
Information and Telecommunications Systems,56840.00,4.50,56032.00,4.60,809.00,-0.10,68563.00,5.30,-11723.00,-0.90
Sales & Marketing,290158.00,22.80,318769.00,26.00,-28612.00,-3.20,289990.00,22.50,167.00,0.30
Property Operations,112925.00,8.90,170260.00,13.90,-57335.00,-5.00,142018.00,11.00,-29092.00,-2.20
