",Business day,Total Revenue"
",2022-03-01,""1,045.55"""
",2022-03-02,""1,042.45"""
",2022-03-03,759.45"
",2022-03-04,""1,196.85"""
",2022-03-05,""2,530.37"""
",2022-03-06,""1,655.58"""
",2022-03-07,""1,021.20"""
",2022-03-08,578.15"
",2022-03-09,""1,422.19"""
",2022-03-10,""1,248.53"""
",2022-03-11,""1,221.95"""
",2022-03-12,""2,223.55"""
",2022-03-13,""3,206.21"""
",2022-03-14,""3,673.71"""
",2022-03-15,""4,452.03"""
",2022-03-16,""4,465.19"""
",2022-03-17,""4,273.29"""
",2022-03-18,""4,735.96"""
",2022-03-19,""5,686.08"""
",2022-03-20,""2,567.54"""
",2022-03-21,763.09"
",2022-03-22,729.12"
",2022-03-23,956.37"
",2022-03-24,""1,057.05"""
",2022-03-25,""3,038.63"""
",2022-03-26,""4,130.72"""
",2022-03-27,""2,443.55"""
",2022-03-28,""1,262.70"""
",2022-03-29,""1,008.22"""
",2022-03-30,833.30"
",2022-03-31,""1,137.34"""
",2022-04-01,""2,369.24"""
",2022-04-02,""5,042.60"""
",2022-04-03,""2,636.88"""
",2022-04-04,""1,395.45"""
",2022-04-05,995.32"
",2022-04-06,910.59"
",2022-04-07,""1,118.45"""
",2022-04-08,""2,742.88"""
",2022-04-09,""6,033.85"""
",2022-04-10,""4,075.34"""
",2022-04-11,996.14"
",2022-04-12,""1,066.29"""
",2022-04-13,965.39"
",2022-04-14,""1,563.45"""
",2022-04-15,""5,047.68"""
",2022-04-16,""6,194.54"""
",2022-04-17,""3,482.78"""
",2022-04-18,""2,441.85"""
",2022-04-19,""1,159.15"""
",2022-04-20,""1,184.00"""
",2022-04-21,""1,444.00"""
",2022-04-22,""2,281.05"""
",2022-04-23,""4,999.71"""
",2022-04-24,""3,574.41"""
",2022-04-25,""1,321.20"""
",2022-04-26,880.86"
",2022-04-27,829.72"
",2022-04-28,""1,367.93"""
",2022-04-29,""3,945.11"""
",2022-04-30,""4,963.42"""
",2022-05-01,""1,986.33"""
",2022-05-02,""1,061.51"""
",2022-05-03,778.45"
",2022-05-04,""1,111.28"""
",2022-05-05,""1,141.58"""
",2022-05-06,""3,307.29"""
",2022-05-07,""6,615.22"""
",2022-05-08,""3,641.27"""
",2022-05-09,""1,388.65"""
",2022-05-10,""1,026.54"""
",2022-05-11,""1,044.36"""
",2022-05-12,""1,248.26"""
",2022-05-13,""4,211.70"""
",2022-05-14,""6,627.10"""
",2022-05-15,""4,240.77"""
",2022-05-16,""2,555.04"""
",2022-05-17,""2,136.75"""
",2022-05-18,""1,416.85"""
",2022-05-19,""1,391.90"""
",2022-05-20,""3,648.64"""
",2022-05-21,""6,470.84"""
",2022-05-22,""2,839.05"""
",2022-05-23,""1,609.99"""
",2022-05-24,""1,314.36"""
",2022-05-25,""1,392.72"""
",2022-05-26,""1,782.70"""
",2022-05-27,""4,230.68"""
",2022-05-28,""6,711.54"""
",2022-05-29,""7,991.67"""
",2022-05-30,""3,813.46"""
",2022-05-31,""2,834.38"""
",2022-06-01,""2,579.49"""
",2022-06-02,""3,544.71"""
",2022-06-03,""5,907.94"""
",2022-06-04,""6,524.32"""
",2022-06-05,""4,195.47"""
",2022-06-06,""2,685.33"""
",2022-06-07,""2,203.03"""
",2022-06-08,""2,303.39"""
",2022-06-09,""3,232.76"""
",2022-06-10,""3,760.14"""
",2022-06-11,""6,347.33"""
",2022-06-12,""3,313.80"""
",2022-06-13,""2,226.71"""
",2022-06-14,""2,236.35"""
",2022-06-15,""2,520.88"""
",2022-06-16,""1,798.37"""
",2022-06-17,""4,156.78"""
",2022-06-18,""5,150.41"""
",2022-06-19,""4,850.66"""
",2022-06-20,""4,078.25"""
",2022-06-21,""2,972.29"""
",2022-06-22,""2,914.11"""
",2022-06-23,""3,523.61"""
",2022-06-24,""10,395.15"""
",2022-06-26,""4,487.08"""
",2022-06-27,""4,907.70"""
",2022-06-28,""3,956.04"""
",2022-06-29,""3,450.40"""
",2022-06-30,""2,999.54"""
",2022-07-01,""5,038.15"""
",2022-07-02,""6,483.18"""
",2022-07-03,""7,811.92"""
",2022-07-04,""6,104.39"""
",2022-07-05,""5,232.39"""
",2022-07-06,""6,156.44"""
",2022-07-07,""8,713.57"""
",2022-07-08,""9,077.25"""
",2022-07-09,""8,059.39"""
",2022-07-10,""4,056.61"""
",2022-07-11,""4,882.67"""
",2022-07-12,""3,384.81"""
",2022-07-13,""3,863.51"""
",2022-07-14,""4,309.87"""
",2022-07-15,""5,831.95"""
",2022-07-16,""7,715.89"""
",2022-07-17,""5,686.28"""
",2022-07-18,""4,434.08"""
",2022-07-19,""4,690.52"""
",2022-07-20,""4,384.84"""
",2022-07-21,""4,482.47"""
